City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,santarem,-2.4431,-54.7083,25.07,94,75,0.0,BR,1713784158
328,labytnangi,66.6572,66.4183,-10.35,78,63,5.26,RU,1713784160
329,vilhena,-12.7406,-60.1458,21.47,99,100,0.96,BR,1713783972
330,qamdo,31.1667,97.2333,7.06,32,79,1.23,CN,1713784165
331,auki,-8.7676,160.7034,26.82,85,60,0.46,SB,1713784168
332,rawson,-43.3002,-65.1023,8.76,70,74,5.28,AR,1713784169
333,tukrah,32.5341,20.5791,33.56,19,93,12.5,LY,1713784171
334,forshaga,59.5254,13.4813,3.29,44,20,3.09,SE,1713784174
335,yilan,24.757,121.753,27.81,88,100,0.72,TW,1713784177
336,luderitz,-26.6481,15.1594,23.31,56,11,5.14,NA,1713784178
337,saint-pierre,-21.3393,55.4781,28.82,65,100,3.09,RE,1713784182
338,bulungu,-4.55,18.6,34.94,41,27,2.08,CD,1713784184
339,amnat charoen,15.9167,104.75,38.92,21,52,3.15,TH,1713784187
340,jalalpur,32.6374,74.2183,31.93,29,40,7.2,PK,1713784188
341,pyt-yakh,60.7499,72.8582,-7.97,75,100,6.89,RU,1713784188
342,tannum sands,-23.9504,151.3693,21.94,68,11,5.66,AU,1713784188
343,bontang,0.1333,117.5,27.94,86,75,3.58,ID,1713784188
344,kralendijk,12.15,-68.2667,27.99,83,40,4.63,BQ,1713784189
345,kargasok,59.0556,80.8572,1.09,100,97,4.92,RU,1713784189
346,atafu village,-8.5421,-172.5159,29.59,73,31,3.03,TK,1713784189
347,conception bay south,47.4999,-52.9981,5.41,98,100,2.88,CA,1713784189
348,saint-felicien,48.6501,-72.4491,-10.12,44,71,5.68,CA,1713784190
349,vilyuysk,63.7553,121.6247,0.56,100,100,3.58,RU,1713784193
350,labrador city,52.9463,-66.9114,-11.57,90,100,5.98,CA,1713784195
351,selfoss,63.9331,-20.9971,8.36,52,64,1.83,IS,1713784198
352,idri,27.5,13.2667,39.65,5,99,10.83,LY,1713784201
353,kimberley,-28.7323,24.7623,29.96,19,96,10.7,ZA,1713784204
354,christchurch,-43.5333,172.6333,10.11,81,100,2.06,NZ,1713784206
355,basni,27.1667,73.65,35.46,16,38,4.85,IN,1713784212
356,al bayda',32.7627,21.7551,29.71,16,100,15.81,LY,1713784215
357,dakoro,14.5106,6.765,38.27,22,99,4.41,NE,1713784218
